,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
0,17606,-121.89,37.29,38.0,1568.0,351.0,710.0,339.0,2.7042,<1H OCEAN
1,18632,-121.93,37.05,14.0,679.0,108.0,306.0,113.0,6.4214,<1H OCEAN
2,14650,-117.2,32.77,31.0,1952.0,471.0,936.0,462.0,2.8621,NEAR OCEAN
3,3230,-119.61,36.31,25.0,1847.0,371.0,1460.0,353.0,1.8839,INLAND
4,3555,-118.59,34.23,17.0,6592.0,1525.0,4459.0,1463.0,3.0347,<1H OCEAN
5,19480,-120.97,37.66,24.0,2930.0,588.0,1448.0,570.0,3.5395,INLAND
6,8879,-118.5,34.04,52.0,2233.0,317.0,769.0,277.0,8.3839,<1H OCEAN
7,13685,-117.24,34.15,26.0,2041.0,293.0,936.0,375.0,6.0,INLAND
8,4937,-118.26,33.99,47.0,1865.0,465.0,1916.0,438.0,1.8242,<1H OCEAN
9,4861,-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,<1H OCEAN
10,16365,-121.31,38.02,24.0,4157.0,951.0,2734.0,879.0,2.7981,INLAND
11,19684,-121.62,39.14,41.0,2183.0,559.0,1202.0,506.0,1.6902,INLAND
12,19234,-122.69,38.51,18.0,3364.0,501.0,1442.0,506.0,6.6854,<1H OCEAN
13,13956,-117.06,34.17,21.0,2520.0,582.0,416.0,151.0,2.712,INLAND
14,2390,-119.46,36.91,12.0,2980.0,495.0,1184.0,429.0,3.9141,INLAND
15,11176,-117.96,33.83,30.0,2838.0,649.0,1758.0,593.0,3.3831,<1H OCEAN
16,15614,-122.41,37.81,25.0,1178.0,545.0,592.0,441.0,3.6728,NEAR BAY
17,2953,-119.02,35.35,42.0,1239.0,251.0,776.0,272.0,1.983,INLAND
18,13209,-117.72,34.05,8.0,1841.0,409.0,1243.0,394.0,4.0614,INLAND
19,6569,-118.15,34.2,46.0,1505.0,261.0,857.0,269.0,4.5,INLAND
20,5825,-118.3,34.19,14.0,3615.0,913.0,1924.0,852.0,3.5083,<1H OCEAN
21,18086,-122.05,37.31,25.0,4111.0,538.0,1585.0,568.0,9.2298,<1H OCEAN
22,16718,-120.66,35.49,17.0,4422.0,945.0,2307.0,885.0,2.8285,<1H OCEAN
